BuildingType,PrimaryPropertyType,YearBuilt,NumberofFloors,PropertyGFATotal,NumberofBuildings,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kWh),NaturalGas(therms),TotalGHGEmissions,ENERGYSTARScore
NonResidential,Hotel,1927,12,88434,1.0,81.69999695,7226362.5,1156514.25,12764.5293,249.98,60.0
NonResidential,Hotel,1996,11,103566,1.0,94.80000305,8387933.0,950425.1875,51450.81641,295.86,61.0
NonResidential,Hotel,1926,10,61320,1.0,110.8000031,6794584.0,811525.3125,18112.13086,286.43,56.0
NonResidential,Hotel,1980,18,175580,1.0,114.8000031,14172606.0,1573448.625,88039.98438,505.01,75.0
Nonresidential COS,Other,1999,2,97288,1.0,136.1000061,12086616.0,2160443.75,47151.81641,301.81,59.625
NonResidential,Hotel,1926,11,83008,1.0,70.80000305,5758795.0,823919.875,29475.80078,176.14,27.0
NonResidential,Other,1926,8,102761,1.0,61.29999924,6298131.5,1065842.75,3851.890137,221.51,76.125
NonResidential,Hotel,1904,15,163984,1.0,83.69999695,13723820.0,2138897.75,64259.0,392.16,43.0
Multifamily MR (5-9),Mid-Rise Multifamily,1910,6,63712,1.0,81.5,4573777.0,742091.1875,10020.25977,151.12,1.0
NonResidential,Hotel,1969,11,153163,1.0,119.5999985,16016644.0,1813489.875,45918.5,691.26,30.0
NonResidential,Hotel,1998,25,333176,1.0,80.0,26941110.0,5299838.5,28586.99805,740.97,36.0
NonResidential,Hotel,1928,9,65009,1.0,101.5,6596057.5,393610.6875,35967.05078,328.23,48.0
NonResidential,Hotel,1980,33,315952,1.0,75.5,22325364.0,4075083.0,40834.39844,648.62,58.0
NonResidential,Hotel,1922,11,92190,1.0,159.5,10750010.0,1123203.125,20467.93359,511.39,35.0
Nonresidential COS,Other,2004,11,412000,1.0,50.79999924,18588860.0,5231916.0,0.0,181.38,55.375
NonResidential,Other,1930,6,103911,1.0,76.59999847,9956396.0,1305354.125,9101.799805,433.86,68.75
NonResidential,Hotel,1983,28,416281,1.0,96.30000305,33556756.0,6220773.0,123314.75,802.89,31.0
NonResidential,Mixed Use Property,1907,5,57452,1.0,132.3999939,7606084.5,1103397.125,20650.91211,273.02,58.375
NonResidential,Hotel,1916,10,104352,1.0,97.30000305,10154608.0,1731644.125,8153.759766,349.32,39.0
SPS-District K-12,K-12 School,1961,2,56228,1.0,26.10000038,1539478.5,274605.9063,6025.229004,38.53,95.0
NonResidential,Hotel,2001,6,88592,1.0,63.20000076,3663534.5,664194.375,13973.03027,90.01,84.0
NonResidential,University,1928,7,126593,1.0,90.69999695,11343686.0,1362096.75,66962.10938,388.04,68.25
NonResidential,Other,1930,2,67224,1.0,19.5,1310236.625,384008.3125,0.0,9.13,58.875
NonResidential,Hotel,1991,8,158676,1.0,45.5,5328051.5,167733.5,47557.44922,256.57,72.5
NonResidential,Hotel,2001,10,171866,1.0,85.80000305,11061916.0,1644403.75,54512.09766,328.63,57.0
SPS-District K-12,K-12 School,1955,1,126351,1.0,0.0,0.0,0.0,0.0,0.0,93.5
NonResidential,Hotel,1978,5,68410,1.0,92.90000153,4456714.5,687675.625,21103.65039,128.44,57.0
SPS-District K-12,K-12 School,1949,2,160645,1.0,41.29999924,6779173.0,570809.1875,48315.71875,270.18,75.0
SPS-District K-12,K-12 School,1989,2,51582,1.0,0.0,0.0,438691.6875,0.0,10.43,91.125
NonResidential,Small- and Mid-Sized Office,1906,3,87262,1.0,61.5,4145920.5,396495.6875,27930.77148,157.77,55.25
NonResidential,Hotel,1994,4,81871,1.0,81.5,6668568.5,884056.0,36521.69141,215.0,29.0
NonResidential,Self-Storage Facility,1955,2,110356,1.0,12.10000038,318364.8125,82434.0,371.0,3.93,87.0
NonResidential,Warehouse,1961,2,714095,3.0,46.40000153,44731160.0,13109951.0,0.0,311.84,90.5
SPS-District K-12,K-12 School,1990,2,54986,1.0,30.0,1650279.25,356855.0,4326.897461,31.47,97.0
SPS-District K-12,K-12 School,1950,2,175565,1.0,35.0,6399127.5,468840.5,47994.43359,266.05,88.0
NonResidential,Small- and Mid-Sized Office,1961,2,94900,1.0,65.19999695,6186461.5,1257791.75,18948.75977,130.56,57.0
NonResidential,Small- and Mid-Sized Office,1900,2,52554,1.0,50.09999847,2951331.25,462998.0,13715.82031,83.86,83.0
NonResidential,K-12 School,1954,3,175015,1.0,40.0,6994740.5,785386.6875,43150.00781,247.85,95.0
